0,7,9,0,3,0,0,0,9,0,5,7,0,3,0,0,0,9,0,5,7,0,1,6,2,9,0,7,0,0,0,2,0,0,0,2,0,0,0,1,2,2,1,1
0,3,0,0,0,9,0,5,7,0,1,6,0,0,9,0,5,7,0,1,6,0,0,7,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,2,1,1,529
0,0,9,0,5,7,0,1,6,0,0,7,0,5,7,0,1,6,0,0,7,0,1,1,0,0,0,2,0,0,0,1,0,0,0,1,0,5,2,9,1,1,529,795
0,0,9,0,5,7,0,1,6,0,0,7,0,1,6,0,0,7,0,1,1,0,3,3,0,0,0,2,0,0,0,1,0,0,0,1,0,5,2,9,1,529,795,1425
0,0,9,0,5,7,0,1,6,0,0,7,0,0,7,0,1,1,0,3,3,0,4,8,0,0,0,2,0,0,0,1,0,0,0,1,0,5,2,9,529,795,1425,1
0,5,7,0,1,6,0,0,7,0,4,8,0,1,1,0,3,3,0,4,8,0,4,4,0,0,0,1,0,0,0,1,0,5,2,9,0,0,0,1,795,1425,1,1
0,1,6,0,0,7,0,4,8,0,4,4,0,3,3,0,4,8,0,4,4,0,4,1,0,0,0,1,0,5,2,9,0,0,0,1,0,0,0,1,1425,1,1,1
0,4,8,0,4,4,0,4,1,0,1,1,0,4,8,0,4,4,0,4,1,0,3,5,0,0,0,1,0,0,0,1,0,0,0,1,0,7,9,5,1,1,1,1
0,4,1,0,1,1,0,3,5,0,3,3,0,4,4,0,4,1,0,3,5,0,0,8,0,0,0,1,0,7,9,5,0,0,0,1,1,4,2,5,1,1,1,692
0,4,1,0,1,1,0,3,5,0,3,3,0,4,1,0,3,5,0,0,8,0,7,4,0,0,0,1,0,7,9,5,0,0,0,1,1,4,2,5,1,1,692,1790
0,1,1,0,3,5,0,3,3,0,0,8,0,3,5,0,0,8,0,7,4,0,9,7,0,7,9,5,0,0,0,1,1,4,2,5,0,6,9,2,1,692,1790,3022
0,1,1,0,3,5,0,3,3,0,0,8,0,0,8,0,7,4,0,9,7,1,2,4,0,7,9,5,0,0,0,1,1,4,2,5,0,6,9,2,692,1790,3022,2
0,3,3,0,0,8,1,2,4,0,7,4,0,7,4,0,9,7,1,2,4,1,1,4,1,4,2,5,0,6,9,2,0,0,0,2,1,7,9,0,1790,3022,2,1
0,0,8,1,2,4,0,7,4,1,1,4,0,9,7,1,2,4,1,1,4,0,7,9,0,6,9,2,0,0,0,2,1,7,9,0,0,0,0,1,3022,2,1,2139
0,0,8,1,2,4,0,7,4,1,1,4,1,2,4,1,1,4,0,7,9,0,9,6,0,6,9,2,0,0,0,2,1,7,9,0,0,0,0,1,2,1,2139,1
1,2,4,0,7,4,1,1,4,0,9,6,1,1,4,0,7,9,0,9,6,0,8,5,0,0,0,2,1,7,9,0,0,0,0,1,0,0,0,1,1,2139,1,2070
0,7,4,1,1,4,0,9,6,0,9,7,0,7,9,0,9,6,0,8,5,0,7,6,1,7,9,0,0,0,0,1,0,0,0,1,3,0,2,2,2139,1,2070,1
0,9,7,0,7,6,0,7,9,0,8,5,0,9,6,0,8,5,0,7,6,1,7,7,3,0,2,2,0,0,0,1,2,1,3,9,2,0,7,0,1,2070,1,2734
